Date,Type,Description,Amount,RunningTotal
3031-01-01,Financial Term End Carryover,Carryover from previous financial term,CSB 290138223,"290,138,223 C-Bill"
3031-01-01,Contract Payments,Monthly payment for Andurien Crissis - Invasion of Primus,CSB 13851520,"303,989,743 C-Bill"
3031-01-01,Maintenance,Monthly Spare Parts,CSB -147102,"303,842,641 C-Bill"
3031-01-01,Maintenance,Monthly Ammunition,CSB -654788,"303,187,853 C-Bill"
3031-01-01,Maintenance,Monthly Fuel bill,CSB -2000344,"301,187,509 C-Bill"
3031-01-01,Salaries,Monthly salaries,CSB -560620,"300,626,889 C-Bill"
3031-01-01,Overhead,Monthly overhead,CSB -28031,"300,598,858 C-Bill"
3031-01-02,Maintenance,Maintenance for Crab CRB-20,CSB -300,"300,598,558 C-Bill"
3031-01-03,Maintenance,Maintenance for Thunderbolt TDR-5SS,CSB -300,"300,598,258 C-Bill"
3031-01-03,Maintenance,Maintenance for Lightning LTN-G15,CSB -260,"300,597,998 C-Bill"
3031-01-05,Repairs,Repair of Aero Heat Sink,CSB -180,"300,597,818 C-Bill"
3031-01-05,Repairs,Repair of Medium Laser,CSB -3200,"300,594,618 C-Bill"
3031-01-05,Recruitment,Recruitment of Tekli Ruan,CSB -2880,"300,591,738 C-Bill"
3031-01-06,Maintenance,Maintenance for Thunderbolt TDR-5SS #2,CSB -300,"300,591,438 C-Bill"
3031-01-06,Unit Purchase(s),Purchased Gazelle (2531),CSB -177055200,"123,536,238 C-Bill"
3031-01-09,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #2,CSB -260,"123,535,978 C-Bill"
3031-01-09,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #3,CSB -260,"123,535,718 C-Bill"
3031-01-09,Maintenance,Maintenance for LRM Carrier #2,CSB -100,"123,535,618 C-Bill"
3031-01-09,Maintenance,Maintenance for Ontos Heavy Tank (LRM),CSB -100,"123,535,518 C-Bill"
3031-01-09,Maintenance,Maintenance for Mobile Headquarters (ICE),CSB -100,"123,535,418 C-Bill"
3031-01-09,Maintenance,Maintenance for Sherpa Armored Truck,CSB -100,"123,535,318 C-Bill"
3031-01-09,Maintenance,Maintenance for Sherpa Armored Truck #2,CSB -100,"123,535,218 C-Bill"
3031-01-09,Maintenance,Maintenance for Sherpa Armored Truck #3,CSB -100,"123,535,118 C-Bill"
3031-01-09,Maintenance,Maintenance for Sherpa Armored Truck #4,CSB -100,"123,535,018 C-Bill"
3031-01-10,Maintenance,Maintenance for LRM Carrier,CSB -100,"123,534,918 C-Bill"
3031-01-10,Maintenance,Maintenance for Maxim Heavy Hover Transport #3,CSB -100,"123,534,818 C-Bill"
3031-01-18,Maintenance,Maintenance for Javelin JVN-10F 'Fire Javelin',CSB -300,"123,534,518 C-Bill"
3031-01-18,Maintenance,Maintenance for Hunchback HBK-4P,CSB -300,"123,534,218 C-Bill"
3031-01-18,Maintenance,Maintenance for Griffin GRF-1S,CSB -300,"123,533,918 C-Bill"
3031-01-18,Maintenance,Maintenance for Black Knight BL-7-KNT-L,CSB -300,"123,533,618 C-Bill"
3031-01-18,Maintenance,Maintenance for Grasshopper GHR-5H,CSB -300,"123,533,318 C-Bill"
3031-01-18,Maintenance,Maintenance for Stalker STK-4N,CSB -300,"123,533,018 C-Bill"
3031-01-18,Maintenance,Maintenance for Strike Falcon Attack VTOL,CSB -260,"123,532,758 C-Bill"
3031-01-18,Maintenance,Maintenance for Hunchback HBK-4P #2,CSB -300,"123,532,458 C-Bill"
3031-01-18,Maintenance,Maintenance for Strike Falcon Attack VTOL #2,CSB -260,"123,532,198 C-Bill"
3031-01-18,Maintenance,Maintenance for Strike Falcon Attack VTOL #3,CSB -260,"123,531,938 C-Bill"
3031-01-18,Maintenance,Maintenance for MASH Truck (ICE),CSB -100,"123,531,838 C-Bill"
3031-01-18,Maintenance,Maintenance for Leopard (Black Swan Mk III) - The Black Swan,CSB -2000,"123,529,838 C-Bill"
3031-01-18,Maintenance,Maintenance for Heavy BattleMech Recovery Vehicle,CSB -100,"123,529,738 C-Bill"
3031-01-18,Maintenance,Maintenance for Boomerang Spotter Plane,CSB -200,"123,529,538 C-Bill"
3031-01-18,Maintenance,Maintenance for Partisan Heavy Tank,CSB -100,"123,529,438 C-Bill"
3031-01-18,Maintenance,Maintenance for Partisan Heavy Tank #2,CSB -100,"123,529,338 C-Bill"
3031-01-18,Maintenance,Maintenance for Partisan Heavy Tank #3,CSB -100,"123,529,238 C-Bill"
3031-01-18,Maintenance,Maintenance for Union (2708),CSB -2000,"123,527,238 C-Bill"
3031-01-18,Maintenance,Maintenance for Gazelle (Heavy Vehicle) Mk II,CSB -2000,"123,525,238 C-Bill"
3031-01-18,Maintenance,Maintenance for Cicada CDA-3C,CSB -300,"123,524,938 C-Bill"
3031-01-18,Maintenance,Maintenance for Pegasus Scout Hover Tank,CSB -100,"123,524,838 C-Bill"
3031-01-19,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"123,524,738 C-Bill"
3031-01-19,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"123,524,638 C-Bill"
3031-01-19,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"123,524,378 C-Bill"
3031-01-19,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"123,524,278 C-Bill"
3031-01-19,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"123,524,178 C-Bill"
3031-01-19,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"123,524,078 C-Bill"
3031-01-21,Maintenance,Maintenance for Stalker STK-3F,CSB -300,"123,523,778 C-Bill"
3031-01-21,Maintenance,Maintenance for Spider SDR-5V,CSB -300,"123,523,478 C-Bill"
3031-01-21,Maintenance,Maintenance for Warrior Attack Helicopter H-7,CSB -260,"123,523,218 C-Bill"
3031-01-22,Maintenance,Maintenance for Trebuchet TBT-5S,CSB -300,"123,522,918 C-Bill"
3031-01-22,Maintenance,Maintenance for Maxim Heavy Hover Transport,CSB -100,"123,522,818 C-Bill"
3031-01-24,Repairs,Repair of Medium Laser,CSB -3200,"123,519,618 C-Bill"
3031-01-25,Maintenance,Maintenance for Javelin JVN-10N,CSB -300,"123,519,318 C-Bill"
3031-01-26,Maintenance,Maintenance for Maxim Heavy Hover Transport (SRM4),CSB -100,"123,519,218 C-Bill"
3031-01-26,Maintenance,Maintenance for Maxim Heavy Hover Transport #2,CSB -100,"123,519,118 C-Bill"
3031-01-26,Maintenance,Maintenance for Stingray F-90,CSB -260,"123,518,858 C-Bill"
3031-01-30,Transportation,Jump from Primus to Kasdach,CSB -528770,"122,990,088 C-Bill"
3031-01-30,Maintenance,Maintenance for Shadow Hawk SHD-2K,CSB -300,"122,989,788 C-Bill"
3031-01-30,Maintenance,Maintenance for Crab CRB-20,CSB -300,"122,989,488 C-Bill"
3031-01-31,Maintenance,Maintenance for Lightning LTN-G15,CSB -260,"122,989,228 C-Bill"
3031-02-01,Repairs,Repair of Fighter Life Support,CSB -450,"122,988,778 C-Bill"
3031-02-01,Contract Payments,Monthly payment for Andurien Crissis - Invasion of Primus,CSB 13851520,"136,840,298 C-Bill"
3031-02-01,Maintenance,Monthly Spare Parts,CSB -190602,"136,649,696 C-Bill"
3031-02-01,Maintenance,Monthly Ammunition,CSB -700377,"135,949,319 C-Bill"
3031-02-01,Maintenance,Monthly Fuel bill,CSB -2414344,"133,534,975 C-Bill"
3031-02-01,Salaries,Monthly salaries,CSB -572796,"132,962,179 C-Bill"
3031-02-01,Overhead,Monthly overhead,CSB -28640,"132,933,539 C-Bill"
3031-02-06,Transportation,Jump from Kasdach to Betelgeuse,CSB -528770,"132,404,769 C-Bill"
3031-02-06,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #2,CSB -260,"132,404,509 C-Bill"
3031-02-06,Maintenance,Maintenance for Warrior Attack Helicopter H-7 #3,CSB -260,"132,404,249 C-Bill"
3031-02-06,Maintenance,Maintenance for LRM Carrier #2,CSB -100,"132,404,149 C-Bill"
3031-02-06,Maintenance,Maintenance for Ontos Heavy Tank (LRM),CSB -100,"132,404,049 C-Bill"
3031-02-06,Maintenance,Maintenance for Mobile Headquarters (ICE),CSB -100,"132,403,949 C-Bill"
3031-02-06,Maintenance,Maintenance for Sherpa Armored Truck,CSB -100,"132,403,849 C-Bill"
3031-02-06,Maintenance,Maintenance for Sherpa Armored Truck #2,CSB -100,"132,403,749 C-Bill"
3031-02-06,Maintenance,Maintenance for Sherpa Armored Truck #3,CSB -100,"132,403,649 C-Bill"
3031-02-06,Maintenance,Maintenance for Sherpa Armored Truck #4,CSB -100,"132,403,549 C-Bill"
3031-02-07,Maintenance,Maintenance for LRM Carrier,CSB -100,"132,403,449 C-Bill"
3031-02-07,Maintenance,Maintenance for Maxim Heavy Hover Transport #3,CSB -100,"132,403,349 C-Bill"
3031-02-09,Ransom,Ransom,CSB 3322500,"135,725,849 C-Bill"
3031-02-09,Education or Training,Tuition fee for Menkir Gacoki,CSB -7650,"135,718,199 C-Bill"
