Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maint. Cost,Next Maint.,BV,"# Repairs","# Parts",Site,Quirks,Mode
Javelin JVN-10F 'Fire Javelin',Mek,Light,IS Introductory Box Set,30.0,"1,375,998 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Shawn ""Lanik"" bin Fath","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Dagobert ""Pyro"" Goltz",529 C-Bill,2.25 days,835,0,0,Facility - Basic,1,Repair
Hunchback HBK-4P,Mek,Medium,IS Introductory Box Set,50.0,"2,086,119 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Yaeko ""Fox"" Miyake","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Ciaran ""Lookout"" Kula",802 C-Bill,2.25 days,1502,0,0,Facility - Basic,2,Repair
Griffin GRF-1S,Mek,Medium,IS Introductory Box Set,55.0,"2,854,366 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Turfa ""Wyvern"" bin Jawad","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Robert ""Chick"" Brzoza","1,098 C-Bill",2.25 days,2105,0,0,Facility - Basic,5,Repair
Black Knight BL-7-KNT-L,Mek,Heavy,IS Introductory Box Set,75.0,"4,131,684 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Shannon ""Blackbird"" Fazliu","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Donna ""Toothsome"" Park","1,589 C-Bill",2.25 days,2705,0,0,Facility - Basic,1,Repair
Grasshopper GHR-5H,Mek,Heavy,IS Introductory Box Set,70.0,"3,629,946 C-Bill",Light Damage,Light Damage,Fully Crewed,F,"Sergeant Rosa ""Rigs"" Bice","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Ryuzaburo ""Cherry"" Sanu","1,396 C-Bill",2.25 days,2050,5,0,Facility - Basic,1,Repair
Stalker STK-4N,Mek,Assault,IS Introductory Box Set,85.0,"4,646,140 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Major Hoang ""Roller"" Doan","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 2nd Class Annice ""Dekker"" Cergueiro","1,787 C-Bill",2.25 days,3599,0,0,Facility - Basic,3,Repair
Jump Platoon (SRM),Infantry,Light,IS TW non-box set,3.5,"270,037 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant JG Dyanna ""Lightning"" Simon","Bravo Urban Warfare Infantry Company, Infantry Battalion, Morning Star",18/18,Lieutenant JG Dyanna Simon,26 C-Bill,-,65,0,0,Facility - Basic,0,Repair
Jump Platoon (Flamer),Infantry,Light,IS TW non-box set,4.0,"304,883 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant SG Tommie ""Stallion"" Ng","Bravo Urban Warfare Infantry Company, Infantry Battalion, Morning Star",21/21,Lieutenant SG Tommie Ng,29 C-Bill,-,73,0,0,Facility - Basic,0,Repair
Hunchback HBK-4P #2,Mek,Medium,IS Introductory Box Set,50.0,"2,176,119 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Libor ""Menace"" Bates-Strachota","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Rayna ""B-Boy"" Cross",837 C-Bill,2.25 days,1366,0,0,Facility - Basic,2,Repair
Thunderbolt TDR-5SS,Mek,Heavy,IS Introductory Box Set,65.0,"3,419,795 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Nasser ""Commando"" Hasan","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Haeyanti ""Mother"" Muljana","1,315 C-Bill",2.25 days,1471,0,0,Facility - Basic,3,Repair
Jump Platoon (Rifle),Infantry,Light,IS TW non-box set,4.0,"304,823 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant SG Eva ""Buck"" Beimler","Bravo Urban Warfare Infantry Company, Infantry Battalion, Morning Star",21/21,Lieutenant SG Eva Beimler,29 C-Bill,-,76,0,0,Facility - Basic,0,Repair
Strike Falcon Attack VTOL,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"641,516 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Gheorghita ""Toad"" Zhou","Charlie VTOL Insertion Team, Infantry Battalion, Morning Star",5/5,"Tech 2nd Class Ghaaliya ""Wendigo"" O'Tuohy",247 C-Bill,2.25 days,312,0,0,Facility - Maintenance,2,Repair
Strike Falcon Attack VTOL #2,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"651,170 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Widdad ""Fang"" Voneve","Charlie VTOL Insertion Team, Infantry Battalion, Morning Star",5/5,"Master Tech Richelle ""Wagon"" Le Gall",250 C-Bill,2.25 days,375,0,0,Facility - Maintenance,2,Repair
MASH Truck (ICE),Tank,Light,IS advanced,20.0,"126,317 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Lindsay ""Casket"" Vlaminks","Loistics Support Lance, Morning Star",2/2,"Tech 1st Class Per ""Loki"" Gaul",36 C-Bill,2.25 days,281,0,0,Facility - Maintenance,0,Repair
Leopard (Black Swan Mk III) - The Black Swan,Dropship,Small Dropship,IS TW non-box set,1900.0,"112,052,700 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Euzebia ""Xerxes"" Harendarski","Leopard ""Black Swan"", DropShips, Morning Star",8/8,Chief Petty Officer Hidetada Kogawa,"107,743 C-Bill",2.25 days,3599,0,0,Facility - Basic,0,Repair
Heavy BattleMech Recovery Vehicle,Tank,Heavy,IS Introductory Box Set,70.0,"381,128 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Keli ""Glide"" Yoshimura","Loistics Support Lance, Morning Star",5/5,"Chief Tech Mitya ""Thought"" Chien",110 C-Bill,2.25 days,176,0,0,Facility - Maintenance,0,Repair
Boomerang Spotter Plane,Conventional Fighter,Small Support Vehicle,IS TW non-box set,4.999,"42,928 C-Bill",Heavy Damage,Heavy Damage,Fully Crewed,F,"Petty Officer Sloan ""Kaiser"" MacCaw","Airbourne Recon, Morning Star",1/1,"Tech 1st Class Susan ""Fuzzy"" Wilson",25 C-Bill,2.25 days,9,0,0,Facility - Basic,0,Repair
Rifleman RFL-3N,Mek,Heavy,IS Introductory Box Set,60.0,"3,085,792 C-Bill",Mothballed,Undamaged,Unsupported,F,-,-,0/1,-,119 C-Bill,-,1039,0,0,Facility - Basic,5,Repair
Partisan Heavy Tank,Tank,Assault,IS Introductory Box Set,80.0,"1,210,725 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Toniko ""Nag"" Furaha","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Chief Tech Jerry ""Charbroil"" Ullock",349 C-Bill,2.25 days,740,0,0,Facility - Maintenance,1,Repair
Partisan Heavy Tank #2,Tank,Assault,IS Introductory Box Set,80.0,"1,210,725 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Jessie ""Vegas"" Stunt","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 1st Class Hunter ""Toro"" Dotson",349 C-Bill,2.25 days,673,0,0,Facility - Maintenance,1,Repair
Partisan Heavy Tank #3,Tank,Assault,IS Introductory Box Set,80.0,"1,210,725 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Adalie ""Timeline"" Schmitt","Alpha Armoued Direct Fire Lance, Bravo Company (Armour), Morning Star",6/6,"Tech 1st Class Ricarda ""Io"" Garibaldi",349 C-Bill,2.25 days,740,0,0,Facility - Maintenance,1,Repair
Union (2708),Dropship,Medium Dropship,IS TW non-box set,3600.0,"137,078,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Kellie ""Woody"" Sánchez","Union, DropShips, Morning Star",11/11,Chief Petty Officer Ava Maamuni,"131,806 C-Bill",2.25 days,4766,0,0,Facility - Basic,0,Repair
Gazelle (Heavy Vehicle) Mk II,Dropship,Medium Dropship,IS TW non-box set,2900.0,"105,052,644 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Captain Amal ""Bus Stop"" bin Azim","Gazelle (Heavy Vehicle), DropShips, Morning Star",8/8,Chief Petty Officer Serkan Behramoglu,"101,012 C-Bill",2.25 days,2580,0,0,Facility - Basic,0,Repair
Thunderbolt TDR-5SS #2,Mek,Heavy,IS Introductory Box Set,65.0,"3,334,521 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant JG Misa ""Reset"" Arnold","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Andréa ""Beagle"" Yoshimura","1,283 C-Bill",2.25 days,2567,0,0,Facility - Basic,3,Repair
