Date,Type,Description,Amount,RunningTotal
3151-02-12,Contract Payments,Advance funds for Zhongshan Great Eagle,CSB 0,0 C-Bill
3151-02-12,Loan Principal,Clan Sea Fox,CSB 3000000,"3,000,000 C-Bill"
3151-02-12,Equipment Purchase(s),Great Eagle,CSB -250000,"2,750,000 C-Bill"
3151-02-14,Repairs,Repair of Mek Center Torso (Endo-Composite),CSB -2860,"2,747,140 C-Bill"
3151-02-15,Repairs,Repair of Mek Left Torso (TSM),CSB -9020,"2,738,120 C-Bill"
3151-02-15,Repairs,Repair of Mek Left Arm (Endo-Composite),CSB -2860,"2,735,260 C-Bill"
3151-02-19,Maintenance,Maintenance for Quasimodo QSM-3D,CSB -75,"2,735,185 C-Bill"
3151-02-19,Maintenance,Maintenance for Black Hawk (Nova) S,CSB -100,"2,735,085 C-Bill"
3151-02-19,Maintenance,Maintenance for Shadow Hawk IIC 8,CSB -75,"2,735,010 C-Bill"
3151-02-19,Maintenance,Maintenance for Mad Cat III 2 -  Mad Kitten,CSB -75,"2,734,935 C-Bill"
3151-02-19,Maintenance,Maintenance for Spider SDR-8X,CSB -75,"2,734,860 C-Bill"
3151-02-19,Maintenance,Maintenance for Ostwar OWR-3M,CSB -75,"2,734,785 C-Bill"
3151-02-19,Maintenance,Maintenance for Locust LCT-7V2,CSB -75,"2,734,710 C-Bill"
3151-02-19,Maintenance,Maintenance for Hunchback HBK-6P,CSB -75,"2,734,635 C-Bill"
3151-02-20,Equipment Purchase(s),Purchase of LRM 15 Ammo,CSB -30000,"2,704,635 C-Bill"
3151-02-20,Equipment Purchase(s),Purchase of Plasma Rifle Ammo,CSB -30000,"2,674,635 C-Bill"
3151-02-20,Equipment Purchase(s),Purchase of Thunderbolt 5 Ammo,CSB -50000,"2,624,635 C-Bill"
3151-02-26,Maintenance,Maintenance for Quasimodo QSM-3D,CSB -75,"2,624,560 C-Bill"
3151-02-26,Maintenance,Maintenance for Black Hawk (Nova) S,CSB -100,"2,624,460 C-Bill"
3151-02-26,Maintenance,Maintenance for Shadow Hawk IIC 8,CSB -75,"2,624,385 C-Bill"
3151-02-26,Maintenance,Maintenance for Mad Cat III 2 -  Mad Kitten,CSB -75,"2,624,310 C-Bill"
3151-02-26,Maintenance,Maintenance for Spider SDR-8X,CSB -75,"2,624,235 C-Bill"
3151-02-26,Maintenance,Maintenance for Starslayer STY-3Dr,CSB -75,"2,624,160 C-Bill"
3151-02-26,Maintenance,Maintenance for Ostwar OWR-3M,CSB -75,"2,624,085 C-Bill"
3151-02-26,Maintenance,Maintenance for Locust LCT-7V2,CSB -75,"2,624,010 C-Bill"
3151-02-26,Maintenance,Maintenance for Hunchback HBK-6P,CSB -75,"2,623,935 C-Bill"
3151-02-26,Maintenance,Maintenance for Fire Falcon H,CSB -100,"2,623,835 C-Bill"
3151-02-26,Maintenance,Maintenance for Union (3055),CSB -500,"2,623,335 C-Bill"
3151-02-26,Repairs,Repair of Mek Left Arm (Clan Endo Steel),CSB -1620,"2,621,715 C-Bill"
3151-02-26,Repairs,Repair of SRM 6,CSB -10400,"2,611,315 C-Bill"
3151-02-26,Repairs,Repair of Mek Right Torso (IS Endo Steel),CSB -1404,"2,609,911 C-Bill"
3151-02-26,Repairs,Repair of Mek Right Torso,CSB -1560,"2,608,351 C-Bill"
3151-02-27,Repairs,Repair of Mek Left Torso (Endo-Composite),CSB -3146,"2,605,205 C-Bill"
3151-03-01,Contract Payments,Monthly payment for Zhongshan Great Eagle,CSB 1667147,"4,272,352 C-Bill"
3151-03-01,Maintenance,Monthly Spare Parts,CSB -90830,"4,181,522 C-Bill"
3151-03-01,Maintenance,Monthly Ammunition,CSB -233005,"3,948,517 C-Bill"
3151-03-01,Maintenance,Monthly Fuel bill,CSB -414000,"3,534,517 C-Bill"
3151-03-01,Salaries,Monthly salaries,CSB -64090,"3,470,427 C-Bill"
3151-03-01,Overhead,Monthly overhead,CSB -3204,"3,467,223 C-Bill"
3151-03-03,Equipment Purchase(s),Purchase of Machine Gun Ammo,CSB 0,"3,467,223 C-Bill"
3151-03-05,Maintenance,Maintenance for Quasimodo QSM-3D,CSB -75,"3,467,148 C-Bill"
3151-03-05,Maintenance,Maintenance for Black Hawk (Nova) S,CSB -100,"3,467,048 C-Bill"
3151-03-05,Maintenance,Maintenance for Shadow Hawk IIC 8,CSB -75,"3,466,973 C-Bill"
3151-03-05,Maintenance,Maintenance for Mad Cat III 2 -  Mad Kitten,CSB -75,"3,466,898 C-Bill"
3151-03-05,Maintenance,Maintenance for Spider SDR-8X,CSB -75,"3,466,823 C-Bill"
3151-03-05,Maintenance,Maintenance for Ostwar OWR-3M,CSB -75,"3,466,748 C-Bill"
3151-03-05,Maintenance,Maintenance for Locust LCT-7V2,CSB -75,"3,466,673 C-Bill"
3151-03-05,Maintenance,Maintenance for Hunchback HBK-6P,CSB -75,"3,466,598 C-Bill"
3151-03-05,Maintenance,Maintenance for Fire Falcon H,CSB -100,"3,466,498 C-Bill"
3151-03-05,Maintenance,Maintenance for Union (3055),CSB -500,"3,465,998 C-Bill"
3151-03-05,Maintenance,Maintenance for Crab CRB-54,CSB -75,"3,465,923 C-Bill"
3151-03-05,Maintenance,Maintenance for Catapult CPLT-C5A,CSB -75,"3,465,848 C-Bill"
3151-03-05,Repairs,Repair of Mek Left Arm (IS Endo Steel),CSB -2340,"3,463,508 C-Bill"
3151-03-12,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"3,463,433 C-Bill"
3151-03-12,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"3,463,333 C-Bill"
3151-03-12,Maintenance,Maintenance for Thunderbolt TDR-12R (Border Dogs) ID:3,CSB -75,"3,463,258 C-Bill"
3151-03-12,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"3,463,183 C-Bill"
3151-03-12,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"3,463,108 C-Bill"
3151-03-12,Maintenance,Maintenance for Starslayer STY-3Dr ID:7,CSB -75,"3,463,033 C-Bill"
3151-03-12,Maintenance,Maintenance for Ostwar OWR-3M ID:8,CSB -75,"3,462,958 C-Bill"
3151-03-12,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"3,462,883 C-Bill"
3151-03-12,Maintenance,Maintenance for Hunchback HBK-6P ID:10,CSB -75,"3,462,808 C-Bill"
3151-03-12,Maintenance,Maintenance for Fire Falcon H ID:11,CSB -100,"3,462,708 C-Bill"
3151-03-12,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"3,462,208 C-Bill"
3151-03-12,Maintenance,Maintenance for Crab CRB-54 ID:14,CSB -75,"3,462,133 C-Bill"
3151-03-12,Maintenance,Maintenance for Catapult CPLT-C5A ID:15,CSB -75,"3,462,058 C-Bill"
3151-03-12,Maintenance,Maintenance for Hatchetman HCT-7S ID:16,CSB -75,"3,461,983 C-Bill"
3151-03-12,Maintenance,Maintenance for Firestarter FS9-M3 ID:17,CSB -75,"3,461,908 C-Bill"
3151-03-17,Repairs,Repair of Mek Left Arm (IS Endo Steel),CSB -2340,"3,459,568 C-Bill"
3151-03-19,Maintenance,Maintenance for Quasimodo QSM-3D ID:1,CSB -75,"3,459,493 C-Bill"
3151-03-19,Maintenance,Maintenance for Black Hawk (Nova) S ID:2,CSB -100,"3,459,393 C-Bill"
3151-03-19,Maintenance,Maintenance for Shadow Hawk IIC 8 ID:4,CSB -75,"3,459,318 C-Bill"
3151-03-19,Maintenance,Maintenance for Mad Cat III 2 ID:5 -  Mad Kitten,CSB -75,"3,459,243 C-Bill"
3151-03-19,Maintenance,Maintenance for Ostwar OWR-3M ID:8,CSB -75,"3,459,168 C-Bill"
3151-03-19,Maintenance,Maintenance for Locust LCT-7V2 ID:9,CSB -75,"3,459,093 C-Bill"
3151-03-19,Maintenance,Maintenance for Hunchback HBK-6P ID:10,CSB -75,"3,459,018 C-Bill"
3151-03-19,Maintenance,Maintenance for Fire Falcon H ID:11,CSB -100,"3,458,918 C-Bill"
3151-03-19,Maintenance,Maintenance for Union (3055) ID:12,CSB -500,"3,458,418 C-Bill"
3151-03-19,Maintenance,Maintenance for Thunderbolt TDR-10M ID:13,CSB -75,"3,458,343 C-Bill"
3151-03-19,Maintenance,Maintenance for Crab CRB-54 ID:14,CSB -75,"3,458,268 C-Bill"
3151-03-19,Maintenance,Maintenance for Catapult CPLT-C5A ID:15,CSB -75,"3,458,193 C-Bill"
