Date,Type,Description,Amount,RunningTotal
3029-01-01,Financial Term End Carryover,Carryover from previous financial term,CSB 195693836,"195,693,836 C-Bill"
3029-01-01,Contract Payments,Monthly payment for Invasion New Caledonia,CSB 8178490,"203,872,326 C-Bill"
3029-01-01,Maintenance,Monthly Spare Parts,CSB -189123,"203,683,203 C-Bill"
3029-01-01,Maintenance,Monthly Ammunition,CSB -573788,"203,109,415 C-Bill"
3029-01-01,Maintenance,Monthly Fuel bill,CSB -1972544,"201,136,871 C-Bill"
3029-01-01,Salaries,Monthly salaries,CSB -503844,"200,633,027 C-Bill"
3029-01-01,Overhead,Monthly overhead,CSB -25192,"200,607,835 C-Bill"
3029-01-01,Repairs,Repair of Vehicle Right Side,CSB 0,"200,607,835 C-Bill"
3029-01-02,Maintenance,Maintenance for Rifleman RFL-3N,CSB -300,"200,607,535 C-Bill"
3029-01-02,Maintenance,Maintenance for Wolfhound WLF-1,CSB -300,"200,607,235 C-Bill"
3029-01-02,Maintenance,Maintenance for Manticore Heavy Tank,CSB -100,"200,607,135 C-Bill"
3029-01-02,Maintenance,Maintenance for Behemoth Heavy Tank,CSB -100,"200,607,035 C-Bill"
3029-01-02,Maintenance,Maintenance for Partisan Heavy Tank (LRM),CSB -100,"200,606,935 C-Bill"
3029-01-02,Maintenance,Maintenance for Warrior Attack Helicopter H-7A,CSB -260,"200,606,675 C-Bill"
3029-01-02,Maintenance,Maintenance for Warrior Attack Helicopter H-7A #2,CSB -260,"200,606,415 C-Bill"
3029-01-02,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25,CSB -100,"200,606,315 C-Bill"
3029-01-02,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Ammunition Carriage),CSB -100,"200,606,215 C-Bill"
3029-01-02,Maintenance,Maintenance for Mobile Long Tom Artillery LT-MOB-25 (Support Carriage),CSB -100,"200,606,115 C-Bill"
3029-01-02,Repairs,Repair of Lower Arm Actuator,CSB -175,"200,605,940 C-Bill"
3029-01-02,Repairs,Repair of Hand Actuator,CSB -280,"200,605,660 C-Bill"
3029-01-03,Repairs,Repair of Upper Arm Actuator,CSB -350,"200,605,310 C-Bill"
