Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maintenance Costs,BV,"# Repairs","# Parts",Site,Quirks,Mode
Javelin JVN-10F 'Fire Javelin',Mek,Light,IS Introductory Box Set,30.0,"1,905,228 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Grear ""Big Texas"" Sottrel","Light Lance, Alpha Company ('Mech), Morning Star",1/1,"Dagobert ""Pyro"" Goltz",300 C-Bill,919,0,0,Transport Bay,1,Repair
Hunchback HBK-4P,Mek,Medium,IS Introductory Box Set,50.0,"3,013,088 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Yaeko ""Fox"" Miyake","Heavy Lance, Alpha Company ('Mech), Morning Star",1/1,"Ciaran ""Lookout"" Kula",300 C-Bill,1366,0,0,Transport Bay,2,Repair
Griffin GRF-1S,Mek,Medium,IS Introductory Box Set,55.0,"3,949,338 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Turfa ""Wyvern"" bin Jawad","Medium Lance, Alpha Company ('Mech), Morning Star",1/1,"Robert ""Chick"" Brzoza",300 C-Bill,1378,0,0,Transport Bay,5,Repair
Black Knight BL-7-KNT-L,Mek,Heavy,IS Introductory Box Set,75.0,"5,720,794 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Shannon ""Blackbird"" Fazliu","Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Donna ""Toothsome"" Park",300 C-Bill,1860,0,0,Transport Bay,1,Repair
Grasshopper GHR-5H,Mek,Heavy,IS Introductory Box Set,70.0,"5,090,208 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Rosa ""Rigs"" Bice","Medium Lance, Alpha Company ('Mech), Morning Star",1/1,"Ryuzaburo ""Cherry"" Sanu",300 C-Bill,1570,0,0,Transport Bay,1,Repair
Stalker STK-4N,Mek,Assault,IS Introductory Box Set,85.0,"6,415,857 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Major Hoang ""Roller"" Doan","Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Annice ""Dekker"" Cergueiro",300 C-Bill,3599,0,0,Transport Bay,3,Repair
Jump Platoon (Rifle),Infantry,Light,IS TW non-box set,4.0,"3,917,659 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant SG Ashley Bolzoni,"Infantry Company Ultra (Jump), Infantry Battalion, Morning Star",21/21,Lieutenant SG Ashley Bolzoni,120 C-Bill,80,0,0,Transport Bay,0,Repair
Jump Platoon (SRM),Infantry,Light,IS TW non-box set,3.5,"3,471,874 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant SG Chan-koo Yokoyama,"Infantry Company Ultra (Jump), Infantry Battalion, Morning Star",18/18,Lieutenant SG Chan-koo Yokoyama,120 C-Bill,69,0,0,Transport Bay,0,Repair
Jump Platoon (Flamer),Infantry,Light,IS TW non-box set,4.0,"3,918,439 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant SG Tommie Ng,"Infantry Company Ultra (Jump), Infantry Battalion, Morning Star",21/21,Lieutenant SG Tommie Ng,120 C-Bill,73,0,0,Transport Bay,0,Repair
Strike Falcon Attack VTOL,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"393,810 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Lieutenant SG Daniela ""Convict"" Valdevieso","VTOL Infantry, Infantry Battalion, Morning Star",5/5,Amiri Misarian,260 C-Bill,341,0,0,Transport Bay,2,Repair
Hunchback HBK-4P #2,Mek,Medium,IS Introductory Box Set,50.0,"3,013,088 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Libor ""Menace"" Strachota","Heavy Lance, Alpha Company ('Mech), Morning Star",1/1,Rayna bin Nawaf,300 C-Bill,1138,0,0,Transport Bay,2,Repair
Thunderbolt TDR-5SS,Mek,Heavy,IS Introductory Box Set,65.0,"4,648,387 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Nasser ""Commando"" Hasan","Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Haeyanti ""Mother"" Muljana",300 C-Bill,1295,0,0,Transport Bay,3,Repair
Jump Platoon (Rifle) #2,Infantry,Light,IS TW non-box set,4.0,"3,917,659 C-Bill",Undamaged,Undamaged,Fully Crewed,D,Lieutenant SG Eva Beimler,"Infantry Company Ultra (Jump), Infantry Battalion, Morning Star",21/21,Lieutenant SG Eva Beimler,120 C-Bill,93,0,0,Transport Bay,0,Repair
Strike Falcon Attack VTOL #2,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"270,670 C-Bill",Undamaged,Undamaged,Fully Crewed,E,"Sergeant Gheorghita ""Toad"" Zhou","VTOL Infantry, Infantry Battalion, Morning Star",5/5,"Ghaaliya ""Wendigo"" Gul",260 C-Bill,281,0,0,Transport Bay,2,Repair
Strike Falcon Attack VTOL #3,VTOL,Medium Support Vehicle,IS TW non-box set,30.0,"410,310 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Widdad ""Fang"" Voneve","VTOL Infantry, Infantry Battalion, Morning Star",5/5,"Richelle ""Wagon"" Le Gall",260 C-Bill,375,0,0,Transport Bay,2,Repair
MASH Truck (ICE),Tank,Light,IS advanced,20.0,"13,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Private Ashwin ""Ouroboros"" Wiersma","Non Combat, Support Forces, Morning Star",2/2,"Per ""Loki"" Gaul",100 C-Bill,281,0,0,Transport Bay,0,Repair
Leopard (Black Swan Mk III) - The Black Swan,Dropship,Small Dropship,IS TW non-box set,1900.0,"148,102,200 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Captain Euzebia ""Xerxes"" Harendarski","DropShips, Morning Star",8/8,Chief Petty Officer Hidetada Kogawa,"2,000 C-Bill",3599,0,0,Factory,0,Repair
