Name,Type,Class,Tech,Weight,Value,Status,Condition,Crew State,Quality,Assigned to,Force,Crew,Tech Crew,Maint. Cost,Next Maint.,BV,"# Repairs","# Parts",Site,Quirks,Mode
Javelin JVN-10F 'Fire Javelin',Mek,Light,IS Introductory Box Set,30.0,"1,375,998 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Shawn ""Lanik"" bin Fath","Delta Light Recon Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Dagobert ""Pyro"" Goltz","2,268 C-Bill",13.5 days,835,0,0,Facility - Basic,1,Repair
Hunchback HBK-4P,Mek,Medium,IS Introductory Box Set,50.0,"2,176,119 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Yaeko ""Fox"" Miyake","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Ciaran ""Lookout"" Kula","3,587 C-Bill",13.5 days,1753,0,0,Facility - Basic,2,Repair
Griffin GRF-1S,Mek,Medium,IS Introductory Box Set,55.0,"2,854,366 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Turfa ""Wyvern"" bin Jawad","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Robert ""Chick"" Brzoza","4,705 C-Bill",13.5 days,1930,0,0,Facility - Basic,5,Repair
Black Knight BL-7-KNT-L,Mek,Heavy,IS Introductory Box Set,75.0,"4,131,684 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Shannon ""Blackbird"" Fazliu","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Donna ""Toothsome"" Park","6,810 C-Bill",13.5 days,2170,0,0,Facility - Basic,1,Repair
Grasshopper GHR-5H,Mek,Heavy,IS Introductory Box Set,70.0,"3,683,345 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Rosa ""Rigs"" Bice","Bravo Medium Striker Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Ryuzaburo ""Cherry"" Sanu","6,071 C-Bill",13.5 days,2198,0,0,Facility - Basic,1,Repair
Stalker STK-4N,Mek,Assault,IS Introductory Box Set,85.0,"4,646,140 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Major Hoang ""Roller"" Doan","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 2nd Class Corianne ""Xanadu"" Renzenbrink","7,658 C-Bill",13.5 days,3599,0,0,Facility - Basic,3,Repair
Jump Platoon (SRM),Infantry,Light,IS TW non-box set,3.5,"270,037 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant JG Dyanna ""Lightning"" Simon","Echo Urban Warfare Company (Infantry), Morning Star",18/18,Lieutenant JG Dyanna Simon,111 C-Bill,-,80,0,0,Facility - Basic,0,Repair
Jump Platoon (Flamer),Infantry,Light,IS TW non-box set,4.0,"304,883 C-Bill",Undamaged,Undamaged,Fully Crewed,D,"Lieutenant SG Tommie ""Stallion"" Ng","Echo Urban Warfare Company (Infantry), Morning Star",21/21,Lieutenant SG Tommie Ng,126 C-Bill,-,73,0,0,Facility - Basic,0,Repair
Hunchback HBK-4P #2,Mek,Medium,IS Introductory Box Set,50.0,"2,176,119 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Libor ""Menace"" Bates-Strachota","Chalie Medium Battle Lance, Alpha Company ('Mech), Morning Star",1/1,"Chief Tech Rayna ""B-Boy"" Cross","3,587 C-Bill",13.5 days,1502,0,0,Facility - Basic,2,Repair
Thunderbolt TDR-5SS,Mek,Heavy,IS Introductory Box Set,65.0,"3,419,795 C-Bill",Undamaged,Undamaged,Fully Crewed,F,"Sergeant Nasser ""Commando"" Hasan","Alpha Heavy Command Lance, Alpha Company ('Mech), Morning Star",1/1,"Tech 1st Class Haeyanti ""Mother"" Muljana","5,637 C-Bill",13.5 days,1765,0,0,Facility - Basic,3,Repair
